event_id,user_id,max_training_id,date,part_code,memo,created_at,updated_at
EVc1da4304747a5de94f54169005519151,USa161ff553b083c68043bfc3dd1cc0d1a,TR4cdcd19c6742fd15fec4de2627af0a88,2020-02-17,01,,"2020-02-16 16:00:40","2020-02-16 16:00:54"
EVc3747fd73b6608b42bfd82d4e22576b7,USa1202e1292e76052459edacd41a9eb5a,TRda59224e87ab3a1180e95af690f57237,2020-01-24,05,,"2020-02-09 17:40:49","2020-02-09 18:11:49"
EVc790c09ee9324b0bc85efdb5d8df702e,USa1202e1292e76052459edacd41a9eb5a,TRd6775cdfb44b21c78b17f840a058e75d,2020-01-30,01,,"2020-02-09 17:39:19","2020-02-09 18:22:53"
EVc7a55ac51db1ecc5df170aba34f2360f,USa1202e1292e76052459edacd41a9eb5a,TR681c939f0b24112fe91912fd1d563325,2020-01-11,06,,"2020-02-09 17:43:50","2020-02-09 17:51:19"
EVc822fde3981ea48c6d8c59ea1c55b4cf,USa1202e1292e76052459edacd41a9eb5a,TR778a9fd9f4f50fbb572a02653af72028,2020-01-05,04,,"2020-02-09 17:34:33","2020-02-09 17:34:46"
EVcd57a9512309eb96c29187a9fb283f32,USa1202e1292e76052459edacd41a9eb5a,TRb289ae9055bcf9e5579618b5b0acf80b,2020-02-16,02,,"2020-02-16 05:47:41","2020-02-17 17:50:32"
EVd18a542654e6a9aef7ebf1d3a83b7821,USa1202e1292e76052459edacd41a9eb5a,TR21d6a2ba0f4f2b432792acbe2a4e5b86,2020-01-22,06,,"2020-02-09 17:41:16","2020-02-09 18:08:35"
EVe74997d4bc10057a4126e2c888970641,USa1202e1292e76052459edacd41a9eb5a,TRdb0c9544ed69ebd613b9d551787f491a,2020-01-04,02,,"2020-02-09 17:33:35","2020-02-09 17:33:51"
EVe904ad599dd3c472fe4bcc446377bad5,USa1202e1292e76052459edacd41a9eb5a,,2020-01-20,06,,"2020-02-09 17:41:42","2020-02-09 17:41:42"
EVf4c8b8ccd1d331de7487278758e972fa,USa1202e1292e76052459edacd41a9eb5a,TR43197385c70bac87ba0158f37c481104,2020-01-14,01,,"2020-02-09 17:43:16","2020-02-09 17:52:44"
EVf697113409706e4dd38bfeabf3859859,USa1202e1292e76052459edacd41a9eb5a,TR7332f5c8c398d274e744453390fe2298,2020-01-12,03,,"2020-02-09 17:43:33","2020-02-09 17:52:02"
EVf8b2676a308446a4d57e6bfc46cf3980,USa1202e1292e76052459edacd41a9eb5a,TR4e1f19f4ca164b9bb5cbf190391f0032,2020-01-11,04,,"2020-02-09 17:43:46","2020-02-09 17:50:29"
EVfb7f99ba2346cb70b4249d19c55ebc38,USa1202e1292e76052459edacd41a9eb5a,TRf8a52c7192e53a24fbaf5080435e4871,2020-01-30,06,,"2020-02-09 17:39:25","2020-02-09 18:23:33"
EVfc3eaf264d18682f88dcefffba3d71e6,USa1202e1292e76052459edacd41a9eb5a,TR5581e1f75171861ad7ccf9190162df1f,2020-01-07,06,テスト　テスト,"2020-02-09 17:45:05","2020-02-09 17:48:43"
